日時,照度,温度,湿度,気圧
2021_12_30_18_20_58,29.166666666666668,13.28,61.37
2021_12_30_18_50_58,0,13.24,59.33
2021_12_30_19_20_58,5,12.94,59.79
2021_12_30_19_50_58,18.333333333333336,13.33,61.36
2021_12_30_20_20_58,12.5,13.62,61.76
